Year,in_state_tuition,in_state_fees ,in_state_total,out_of_state_tuition,out_of_state_fees,out_of_state_total,room,board,room_board_total,in_state_all_charges,in_state_all_pctchg,out_of_state_all_charges,out_of_state_all_pctchg
1947-48,100,31,131,220,31,251,150,280,430,561,0.057,681,0.04
1948-49,100,38,138,400,38,438,150,300,450,588,0.048,888,0.304
1949-50,100,38,138,400,38,438,150,340,490,628,0.068,928,0.045
1950-51,100,38,138,400,38,438,150,345,495,633,0.008,933,0.005
1951-52,100,38,138,400,38,438,165,350,515,653,0.032,953,0.021
1952-53,100,40,140,400,40,440,165,350,515,655,0.003,955,0.002
1953-54,100,40,140,400,40,440,165,350,515,655,0,955,0
1954-55,100,40,140,400,40,440,165,350,515,655,0,955,0
1955-56,100,40,140,400,40,440,165,350,515,655,0,955,0
1956-57,100,60,160,400,60,460,180,350,530,690,0.053,990,0.037
1957-58,100,61,161,400,61,461,180,350,530,691,0.001,991,0.001
1958-59,100,62,162,600,62,662,180,350,530,692,0.001,1192,0.203
1959-60,200,66,266,600,66,666,200,350,550,816,0.179,1216,0.02
1960-61,200,66,266,600,66,666,200,340,540,806,-0.012,1206,-0.008
1961-62,200,106,306,600,106,706,200,340,540,846,0.05,1246,0.033
1962-63,200,112,312,600,112,712,250,331,581,893,0.056,1293,0.038
1963-64,200,111,311,600,111,711,250,332,582,893,0,1293,0
1964-65,200,119,319,600,119,719,250,370,620,939,0.052,1339,0.036
1965-66,200,119,319,600,119,719,250,370,620,939,0,1339,0
1966-67,200,127,327,600,127,727,250,405,655,982,0.046,1382,0.032
1967-68,200,146,346,600,146,746,325,440,765,1111,0.131,1511,0.093
1968-69,200,154,354,600,154,154,425,490,915,1269,0.142,1669,0.105
1969-70,200,171,371,600,171,771,425,530,955,1326,0.045,1726,0.034
1970-71,200,206,406,600,206,806,570,530,1100,1506,0.136,1906,0.104
1971-72,200,212,412,600,212,812,603,578,1181,1593,0.058,1993,0.046
1972-73,250,219,469,850,219,1069,640,578,1218,1687,0.059,2287,0.148
1973-74,300,215,515,1100,215,1315,667,606,1273,1788,0.06,2588,0.132
1974-75,300,249,549,1100,249,1349,667,654,1321,1870,0.046,2670,0.032
1975-76,300,249,549,1100,249,1349,694,733,1427,1976,0.057,2776,0.04
1976-77,345,249,594,1550,249,1799,739,733,1472,2066,0.046,3271,0.178
1977-78,480,287,767,1550,287,1837,795,778,1573,2340,0.133,3410,0.042
1978-79,525,304,829,1550,304,1854,805,826,1631,2460,0.051,3485,0.022
1979-80,625,335,960,2150,335,2485,843,854,1697,2657,0.08,4182,0.2
1980-81,750,363,1113,2750,363,3113,1027,913,1940,3053,0.149,5053,0.208
1981-82,952,374,1326,3350,374,3724,1136,1014,2150,3476,0.139,5874,0.162
1983-84,1129,433,1562,3686,433,4119,1242,1122,2364,3926,0.057,6483,0.04
1984-85,1208,449,1657,4032,449,4481,1276,1122,2398,4055,0.033,6879,0.061
1985-86,1296,651,1947,4320,651,4971,1186,1058,2244,4191,0.034,7215,0.049
1986-87,1296,700,1996,4320,700,5020,1269,1132,2401,4397,0.049,7421,0.029
1987-88,1296,752,2048,4320,752,5072,1372,1212,2584,4632,0.053,7656,0.032
1988-89,1404,1114,2518,4836,1114,5950,1514,1290,2804,5322,0.149,8754,0.143
1989-90,1512,1468,2980,5903,1468,7371,1690,1374,3064,6044,0.136,10435,0.192
1990-91,1935,1932,3867,6788,1932,8720,2007,1536,3543,7410,0.226,12263,0.175
1991-92,2052,2811,4863,7920,2811,10731,2002,1584,3586,8449,0.14,14317,0.167
1992-93,2134,2928,5062,8237,2928,11165,2061,1632,3693,8755,0.036,14858,0.038
1993-94,2220,3247,5467,8566,3247,11813,2185,1712,3897,9364,0.07,15710,0.057
1994-95,2220,3247,5467,8566,3247,11813,2266,1762,4028,9495,0.014,15841,0.008
1995-96,2220,3294,5514,8566,3294,11860,2376,1812,4188,9702,0.022,16048,0.013
1996-97,2109,3304,5413,8842,3338,12180,2416,1812,4228,9641,-0.006,16408,0.022
1997-98,2004,3325,5329,8952,3390,12342,2488,2032,4520,9849,0.022,16862,0.028
1998-99,1904,3325,5229,9018,3432,12450,2488,2032,4520,9749,-0.01,16970,0.006
1999-00,1714,3498,5212,9756,3609,13365,2638,2152,4790,10002,0.026,18155,0.07
2000-01,1714,3498,5212,9856,3609,13465,2743,2152,4895,10107,0.01,18360,0.011
2001-02,1714,3993,5707,9937,4323,14260,2872,2243,5115,10822,0.071,19375,0.055
2002-03,1714,4768,6482,9937,5398,15335,3080,2393,5473,11955,0.105,20808,0.074
2003-04,1714,6518,8232,9937,7148,17085,3235,2513,5748,13980,0.169,22833,0.097
2004-05,1714,7294,9008,9937,7924,17861,3428,2761,6189,15197,0.087,24050,0.053
2005-06,1714,7564,9278,9937,8460,18397,3605,2912,6517,15795,0.039,24914,0.036
2006-07,1714,7881,9595,9937,9380,19317,3905,3084,6989,16584,0.05,26306,0.056
2007-08,1714,8207,9921,9937,10562,20499,4151,3327,7478,17399,0.049,27977,0.064
2008-09,1714,8518,10232,9937,11792,21729,4524,3590,8114,18346,0.054,29843,0.067
2009-10,1714,10018,11732,9937,13292,23229,4816,3664,8480,20212,0.102,31709,0.063
2010-11,1714,10018,11732,9937,13691,23628,4876,3938,8814,20546,0.017,32442,0.023
2011-12,1714,10898,12612,9937,15463,25400,5306,4206,9512,22124,0.077,34912,0.076
2012-13,1714,11516,13230,9937,16708,26645,5563,4374,9937,23167,0.047,36582,0.048
2013-14,1714,11544,13258,9937,18037,27974,5846,4593,10439,23697,0.023,38413,0.05
2014-15,1714,11544,13258,9937,18876,28813,6137,4820,10957,24215,0.022,39770,0.035
2015-16,13790,381,14171,30123,381,30504,6442,5061,11503,25674,0.06,42007,0.056
